id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
1,TCKT-1001,Medium,Resolved,Hardware,Software installation issue,Automatically generated sample ticket record,2024-07-14,2024-07-19,Ethan,2024-07-14 00:00:00
2,TCKT-1002,Medium,Closed,Network,System running slow,Automatically generated sample ticket record,2024-01-04,2024-01-10,Ethan,2024-01-04 00:00:00
3,TCKT-1003,Critical,In Progress,Software,Cannot connect to WiFi,Automatically generated sample ticket record,2024-03-18,,Bob,2024-03-18 00:00:00
4,TCKT-1004,Critical,Resolved,Hardware,Access denied error,Automatically generated sample ticket record,2024-02-14,2024-02-18,Bob,2024-02-14 00:00:00
5,TCKT-1005,Critical,Open,Security,System running slow,Automatically generated sample ticket record,2024-02-14,,Bob,2024-02-14 00:00:00
6,TCKT-1006,High,Resolved,Access,Access denied error,Automatically generated sample ticket record,2024-06-17,2024-06-24,Alice,2024-06-17 00:00:00
7,TCKT-1007,High,In Progress,Software,Printer not working,Automatically generated sample ticket record,2024-07-07,,Charlie,2024-07-07 00:00:00
8,TCKT-1008,Low,In Progress,Network,Password reset request,Automatically generated sample ticket record,2024-01-09,,Ethan,2024-01-09 00:00:00
9,TCKT-1009,Low,Resolved,Access,Password reset request,Automatically generated sample ticket record,2024-04-28,2024-05-07,Ethan,2024-04-28 00:00:00
10,TCKT-1010,Critical,Resolved,Security,Software installation issue,Automatically generated sample ticket record,2024-09-01,2024-09-03,Fatima,2024-09-01 00:00:00
11,TCKT-1011,Low,In Progress,Security,Antivirus alert,Automatically generated sample ticket record,2024-03-19,,Fatima,2024-03-19 00:00:00
12,TCKT-1012,Low,In Progress,Access,VPN connection problem,Automatically generated sample ticket record,2024-01-20,,Bob,2024-01-20 00:00:00
13,TCKT-1013,High,Resolved,Hardware,VPN connection problem,Automatically generated sample ticket record,2024-05-29,2024-06-05,Fatima,2024-05-29 00:00:00
14,TCKT-1014,Low,In Progress,Security,System running slow,Automatically generated sample ticket record,2024-02-24,,Fatima,2024-02-24 00:00:00
15,TCKT-1015,Critical,Open,Software,Access denied error,Automatically generated sample ticket record,2024-09-02,,Hassan,2024-09-02 00:00:00
16,TCKT-1016,Medium,Resolved,Hardware,Password reset request,Automatically generated sample ticket record,2024-06-16,2024-06-21,Charlie,2024-06-16 00:00:00
17,TCKT-1017,Low,Closed,Network,Email not syncing,Automatically generated sample ticket record,2024-01-29,2024-01-31,Alice,2024-01-29 00:00:00
18,TCKT-1018,Critical,Open,Network,Antivirus alert,Automatically generated sample ticket record,2024-01-09,,Bob,2024-01-09 00:00:00
19,TCKT-1019,High,Closed,Access,Software installation issue,Automatically generated sample ticket record,2024-03-31,2024-04-01,Ethan,2024-03-31 00:00:00
20,TCKT-1020,High,Resolved,Hardware,Software installation issue,Automatically generated sample ticket record,2024-09-16,2024-09-17,Ethan,2024-09-16 00:00:00
21,TCKT-1021,High,In Progress,Hardware,System running slow,Automatically generated sample ticket record,2024-09-24,,Charlie,2024-09-24 00:00:00
22,TCKT-1022,Low,Closed,Network,Password reset request,Automatically generated sample ticket record,2024-04-15,2024-04-22,Ethan,2024-04-15 00:00:00
23,TCKT-1023,Medium,In Progress,Software,Laptop not starting,Automatically generated sample ticket record,2024-03-25,,Fatima,2024-03-25 00:00:00
24,TCKT-1024,Low,Open,Security,Password reset request,Automatically generated sample ticket record,2024-01-01,,Alice,2024-01-01 00:00:00
25,TCKT-1025,Critical,Open,Access,Password reset request,Automatically generated sample ticket record,2024-02-23,,Hassan,2024-02-23 00:00:00
26,TCKT-1026,Low,Open,Network,Antivirus alert,Automatically generated sample ticket record,2024-06-25,,Hassan,2024-06-25 00:00:00
27,TCKT-1027,Low,Closed,Access,Software installation issue,Automatically generated sample ticket record,2024-03-28,2024-04-06,Alice,2024-03-28 00:00:00
28,TCKT-1028,Critical,In Progress,Access,Access denied error,Automatically generated sample ticket record,2024-09-14,,Bob,2024-09-14 00:00:00
29,TCKT-1029,High,Open,Hardware,System running slow,Automatically generated sample ticket record,2024-08-24,,David,2024-08-24 00:00:00
30,TCKT-1030,Critical,Resolved,Software,Antivirus alert,Automatically generated sample ticket record,2024-10-06,2024-10-12,Bob,2024-10-06 00:00:00
31,TCKT-1031,Medium,Resolved,Access,Laptop not starting,Automatically generated sample ticket record,2024-02-09,2024-02-19,Charlie,2024-02-09 00:00:00
32,TCKT-1032,Low,Resolved,Hardware,System running slow,Automatically generated sample ticket record,2024-09-08,2024-09-14,Charlie,2024-09-08 00:00:00
33,TCKT-1033,Low,In Progress,Security,Access denied error,Automatically generated sample ticket record,2024-03-18,,Fatima,2024-03-18 00:00:00
34,TCKT-1034,High,Open,Access,Laptop not starting,Automatically generated sample ticket record,2024-02-04,,Hassan,2024-02-04 00:00:00
35,TCKT-1035,Low,Open,Hardware,System running slow,Automatically generated sample ticket record,2024-05-08,,Alice,2024-05-08 00:00:00
36,TCKT-1036,Critical,Resolved,Access,Password reset request,Automatically generated sample ticket record,2024-03-04,2024-03-08,Ethan,2024-03-04 00:00:00
37,TCKT-1037,Medium,In Progress,Access,Access denied error,Automatically generated sample ticket record,2024-10-13,,Charlie,2024-10-13 00:00:00
38,TCKT-1038,Low,Resolved,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-09-14,2024-09-17,Bob,2024-09-14 00:00:00
39,TCKT-1039,High,Open,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-01-16,,Hassan,2024-01-16 00:00:00
40,TCKT-1040,High,Resolved,Security,Password reset request,Automatically generated sample ticket record,2024-06-16,2024-06-25,Charlie,2024-06-16 00:00:00
41,TCKT-1041,High,Resolved,Network,System running slow,Automatically generated sample ticket record,2024-05-20,2024-05-27,Hassan,2024-05-20 00:00:00
42,TCKT-1042,Low,Resolved,Hardware,Software installation issue,Automatically generated sample ticket record,2024-06-29,2024-07-06,Ethan,2024-06-29 00:00:00
43,TCKT-1043,High,In Progress,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-01-27,,Alice,2024-01-27 00:00:00
44,TCKT-1044,Medium,Open,Hardware,Access denied error,Automatically generated sample ticket record,2024-10-15,,Charlie,2024-10-15 00:00:00
45,TCKT-1045,Low,Open,Hardware,VPN connection problem,Automatically generated sample ticket record,2024-03-18,,Alice,2024-03-18 00:00:00
46,TCKT-1046,High,Open,Security,Access denied error,Automatically generated sample ticket record,2024-10-23,,David,2024-10-23 00:00:00
47,TCKT-1047,High,Open,Network,Laptop not starting,Automatically generated sample ticket record,2024-04-16,,Hassan,2024-04-16 00:00:00
48,TCKT-1048,Medium,In Progress,Security,VPN connection problem,Automatically generated sample ticket record,2024-08-21,,Hassan,2024-08-21 00:00:00
49,TCKT-1049,High,Closed,Hardware,VPN connection problem,Automatically generated sample ticket record,2024-02-09,2024-02-19,Fatima,2024-02-09 00:00:00
50,TCKT-1050,Critical,In Progress,Access,Antivirus alert,Automatically generated sample ticket record,2024-09-15,,Alice,2024-09-15 00:00:00
51,TCKT-1051,Low,In Progress,Security,VPN connection problem,Automatically generated sample ticket record,2024-08-23,,Alice,2024-08-23 00:00:00
52,TCKT-1052,Low,In Progress,Access,Cannot connect to WiFi,Automatically generated sample ticket record,2024-06-14,,Fatima,2024-06-14 00:00:00
53,TCKT-1053,Critical,Open,Network,Laptop not starting,Automatically generated sample ticket record,2024-04-28,,Hassan,2024-04-28 00:00:00
54,TCKT-1054,High,Resolved,Software,Access denied error,Automatically generated sample ticket record,2024-04-29,2024-05-07,Bob,2024-04-29 00:00:00
55,TCKT-1055,High,Closed,Hardware,Access denied error,Automatically generated sample ticket record,2024-10-18,2024-10-19,David,2024-10-18 00:00:00
56,TCKT-1056,Low,Closed,Network,VPN connection problem,Automatically generated sample ticket record,2024-04-23,2024-04-28,Ethan,2024-04-23 00:00:00
57,TCKT-1057,Critical,In Progress,Software,Laptop not starting,Automatically generated sample ticket record,2024-03-20,,David,2024-03-20 00:00:00
58,TCKT-1058,Critical,Closed,Security,Antivirus alert,Automatically generated sample ticket record,2024-06-29,2024-07-07,Bob,2024-06-29 00:00:00
59,TCKT-1059,Low,In Progress,Network,Password reset request,Automatically generated sample ticket record,2024-10-22,,David,2024-10-22 00:00:00
60,TCKT-1060,High,In Progress,Network,Email not syncing,Automatically generated sample ticket record,2024-08-20,,Hassan,2024-08-20 00:00:00
61,TCKT-1061,High,Resolved,Security,Software installation issue,Automatically generated sample ticket record,2024-08-10,2024-08-11,David,2024-08-10 00:00:00
62,TCKT-1062,Medium,Open,Security,VPN connection problem,Automatically generated sample ticket record,2024-04-12,,Charlie,2024-04-12 00:00:00
63,TCKT-1063,Medium,Open,Software,Cannot connect to WiFi,Automatically generated sample ticket record,2024-04-17,,Ethan,2024-04-17 00:00:00
64,TCKT-1064,Medium,In Progress,Access,Cannot connect to WiFi,Automatically generated sample ticket record,2024-01-04,,Ethan,2024-01-04 00:00:00
65,TCKT-1065,Medium,Resolved,Hardware,Antivirus alert,Automatically generated sample ticket record,2024-06-07,2024-06-17,David,2024-06-07 00:00:00
66,TCKT-1066,Low,In Progress,Software,Laptop not starting,Automatically generated sample ticket record,2024-01-03,,Fatima,2024-01-03 00:00:00
67,TCKT-1067,Critical,Closed,Security,Software installation issue,Automatically generated sample ticket record,2024-03-27,2024-03-29,Fatima,2024-03-27 00:00:00
68,TCKT-1068,Medium,Resolved,Security,System running slow,Automatically generated sample ticket record,2024-10-26,2024-11-05,Hassan,2024-10-26 00:00:00
69,TCKT-1069,High,In Progress,Access,VPN connection problem,Automatically generated sample ticket record,2024-02-01,,Alice,2024-02-01 00:00:00
70,TCKT-1070,Medium,In Progress,Security,Laptop not starting,Automatically generated sample ticket record,2024-01-10,,Ethan,2024-01-10 00:00:00
71,TCKT-1071,Low,Resolved,Access,Cannot connect to WiFi,Automatically generated sample ticket record,2024-09-18,2024-09-27,Charlie,2024-09-18 00:00:00
72,TCKT-1072,Critical,Resolved,Security,System running slow,Automatically generated sample ticket record,2024-09-10,2024-09-12,Charlie,2024-09-10 00:00:00
73,TCKT-1073,Medium,In Progress,Access,Email not syncing,Automatically generated sample ticket record,2024-07-04,,Alice,2024-07-04 00:00:00
74,TCKT-1074,Low,In Progress,Security,Antivirus alert,Automatically generated sample ticket record,2024-07-16,,Alice,2024-07-16 00:00:00
75,TCKT-1075,Critical,In Progress,Access,System running slow,Automatically generated sample ticket record,2024-08-26,,Hassan,2024-08-26 00:00:00
76,TCKT-1076,High,In Progress,Security,Password reset request,Automatically generated sample ticket record,2024-08-17,,Hassan,2024-08-17 00:00:00
77,TCKT-1077,Critical,Resolved,Software,Software installation issue,Automatically generated sample ticket record,2024-04-26,2024-05-05,Fatima,2024-04-26 00:00:00
78,TCKT-1078,Medium,Resolved,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-06-19,2024-06-27,Alice,2024-06-19 00:00:00
79,TCKT-1079,Critical,Closed,Software,Antivirus alert,Automatically generated sample ticket record,2024-04-17,2024-04-25,Bob,2024-04-17 00:00:00
80,TCKT-1080,Low,In Progress,Software,System running slow,Automatically generated sample ticket record,2024-04-04,,Hassan,2024-04-04 00:00:00
81,TCKT-1081,Critical,In Progress,Software,Email not syncing,Automatically generated sample ticket record,2024-01-16,,Hassan,2024-01-16 00:00:00
82,TCKT-1082,Low,Closed,Network,Access denied error,Automatically generated sample ticket record,2024-07-12,2024-07-22,Hassan,2024-07-12 00:00:00
83,TCKT-1083,Low,In Progress,Hardware,Access denied error,Automatically generated sample ticket record,2024-01-02,,David,2024-01-02 00:00:00
84,TCKT-1084,Low,In Progress,Access,Cannot connect to WiFi,Automatically generated sample ticket record,2024-08-02,,Hassan,2024-08-02 00:00:00
85,TCKT-1085,High,Open,Network,Access denied error,Automatically generated sample ticket record,2024-04-08,,Charlie,2024-04-08 00:00:00
86,TCKT-1086,Critical,Resolved,Software,Antivirus alert,Automatically generated sample ticket record,2024-07-06,2024-07-09,Bob,2024-07-06 00:00:00
87,TCKT-1087,High,Resolved,Security,Email not syncing,Automatically generated sample ticket record,2024-10-02,2024-10-07,Bob,2024-10-02 00:00:00
88,TCKT-1088,Critical,Closed,Access,Access denied error,Automatically generated sample ticket record,2024-03-07,2024-03-16,Charlie,2024-03-07 00:00:00
89,TCKT-1089,Medium,Closed,Security,Software installation issue,Automatically generated sample ticket record,2024-02-27,2024-03-05,Bob,2024-02-27 00:00:00
90,TCKT-1090,Low,In Progress,Access,Cannot connect to WiFi,Automatically generated sample ticket record,2024-01-27,,Charlie,2024-01-27 00:00:00
91,TCKT-1091,Medium,Closed,Hardware,System running slow,Automatically generated sample ticket record,2024-06-20,2024-06-25,Charlie,2024-06-20 00:00:00
92,TCKT-1092,Medium,Open,Network,Laptop not starting,Automatically generated sample ticket record,2024-04-01,,Alice,2024-04-01 00:00:00
93,TCKT-1093,Medium,Resolved,Network,Software installation issue,Automatically generated sample ticket record,2024-01-10,2024-01-16,David,2024-01-10 00:00:00
94,TCKT-1094,High,Open,Network,Access denied error,Automatically generated sample ticket record,2024-07-26,,David,2024-07-26 00:00:00
95,TCKT-1095,Critical,Closed,Access,Laptop not starting,Automatically generated sample ticket record,2024-08-20,2024-08-22,Hassan,2024-08-20 00:00:00
96,TCKT-1096,Medium,Closed,Hardware,VPN connection problem,Automatically generated sample ticket record,2024-07-01,2024-07-04,Bob,2024-07-01 00:00:00
97,TCKT-1097,High,Closed,Security,Email not syncing,Automatically generated sample ticket record,2024-02-13,2024-02-23,David,2024-02-13 00:00:00
98,TCKT-1098,Low,Resolved,Security,Printer not working,Automatically generated sample ticket record,2024-05-24,2024-05-25,Alice,2024-05-24 00:00:00
99,TCKT-1099,Medium,Closed,Hardware,Access denied error,Automatically generated sample ticket record,2024-09-28,2024-10-05,Ethan,2024-09-28 00:00:00
100,TCKT-1100,Medium,In Progress,Access,Email not syncing,Automatically generated sample ticket record,2024-03-02,,Alice,2024-03-02 00:00:00
101,TCKT-1101,Critical,Open,Hardware,Printer not working,Automatically generated sample ticket record,2024-08-31,,Fatima,2024-08-31 00:00:00
102,TCKT-1102,Low,Open,Access,Laptop not starting,Automatically generated sample ticket record,2024-06-05,,Bob,2024-06-05 00:00:00
103,TCKT-1103,Critical,In Progress,Software,Antivirus alert,Automatically generated sample ticket record,2024-06-20,,Fatima,2024-06-20 00:00:00
104,TCKT-1104,Critical,In Progress,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-05-30,,Charlie,2024-05-30 00:00:00
105,TCKT-1105,Medium,Resolved,Software,Software installation issue,Automatically generated sample ticket record,2024-09-14,2024-09-17,Hassan,2024-09-14 00:00:00
106,TCKT-1106,Medium,Closed,Software,Password reset request,Automatically generated sample ticket record,2024-08-03,2024-08-11,Ethan,2024-08-03 00:00:00
107,TCKT-1107,Medium,Resolved,Software,Software installation issue,Automatically generated sample ticket record,2024-06-19,2024-06-21,Alice,2024-06-19 00:00:00
108,TCKT-1108,Critical,Resolved,Network,Printer not working,Automatically generated sample ticket record,2024-06-09,2024-06-14,Ethan,2024-06-09 00:00:00
109,TCKT-1109,Medium,Resolved,Security,Antivirus alert,Automatically generated sample ticket record,2024-08-11,2024-08-15,Ethan,2024-08-11 00:00:00
110,TCKT-1110,High,Resolved,Hardware,System running slow,Automatically generated sample ticket record,2024-07-17,2024-07-22,David,2024-07-17 00:00:00
111,TCKT-1111,Low,In Progress,Software,VPN connection problem,Automatically generated sample ticket record,2024-09-16,,Alice,2024-09-16 00:00:00
112,TCKT-1112,High,Resolved,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-04-13,2024-04-14,Fatima,2024-04-13 00:00:00
113,TCKT-1113,Low,Closed,Access,Antivirus alert,Automatically generated sample ticket record,2024-04-17,2024-04-27,Ethan,2024-04-17 00:00:00
114,TCKT-1114,Low,Resolved,Hardware,Access denied error,Automatically generated sample ticket record,2024-01-26,2024-02-05,Charlie,2024-01-26 00:00:00
115,TCKT-1115,High,In Progress,Security,Printer not working,Automatically generated sample ticket record,2024-04-30,,Fatima,2024-04-30 00:00:00
116,TCKT-1116,Critical,In Progress,Hardware,Antivirus alert,Automatically generated sample ticket record,2024-07-20,,Fatima,2024-07-20 00:00:00
117,TCKT-1117,Critical,Closed,Software,Antivirus alert,Automatically generated sample ticket record,2024-05-19,2024-05-21,Hassan,2024-05-19 00:00:00
118,TCKT-1118,Critical,Resolved,Access,Laptop not starting,Automatically generated sample ticket record,2024-03-02,2024-03-12,Charlie,2024-03-02 00:00:00
119,TCKT-1119,High,Closed,Security,Access denied error,Automatically generated sample ticket record,2024-05-22,2024-05-31,Hassan,2024-05-22 00:00:00
120,TCKT-1120,Low,Open,Software,Antivirus alert,Automatically generated sample ticket record,2024-03-05,,Fatima,2024-03-05 00:00:00
121,TCKT-1121,High,Open,Network,Printer not working,Automatically generated sample ticket record,2024-07-25,,Hassan,2024-07-25 00:00:00
122,TCKT-1122,Critical,Closed,Software,Email not syncing,Automatically generated sample ticket record,2024-03-15,2024-03-18,Hassan,2024-03-15 00:00:00
123,TCKT-1123,Critical,In Progress,Access,Software installation issue,Automatically generated sample ticket record,2024-03-18,,Fatima,2024-03-18 00:00:00
124,TCKT-1124,Medium,In Progress,Network,Software installation issue,Automatically generated sample ticket record,2024-06-04,,Charlie,2024-06-04 00:00:00
125,TCKT-1125,Medium,Closed,Network,Email not syncing,Automatically generated sample ticket record,2024-03-20,2024-03-24,Charlie,2024-03-20 00:00:00
126,TCKT-1126,Medium,Resolved,Security,Password reset request,Automatically generated sample ticket record,2024-10-17,2024-10-23,Ethan,2024-10-17 00:00:00
127,TCKT-1127,Medium,Resolved,Software,Antivirus alert,Automatically generated sample ticket record,2024-04-19,2024-04-27,Fatima,2024-04-19 00:00:00
128,TCKT-1128,Medium,Open,Network,System running slow,Automatically generated sample ticket record,2024-04-25,,David,2024-04-25 00:00:00
129,TCKT-1129,Medium,Closed,Access,Printer not working,Automatically generated sample ticket record,2024-01-10,2024-01-15,Fatima,2024-01-10 00:00:00
130,TCKT-1130,Medium,Closed,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-09-24,2024-09-30,Charlie,2024-09-24 00:00:00
131,TCKT-1131,Low,Resolved,Security,Cannot connect to WiFi,Automatically generated sample ticket record,2024-06-07,2024-06-11,David,2024-06-07 00:00:00
132,TCKT-1132,Low,Open,Network,Software installation issue,Automatically generated sample ticket record,2024-03-05,,Charlie,2024-03-05 00:00:00
133,TCKT-1133,Low,Resolved,Software,Printer not working,Automatically generated sample ticket record,2024-10-13,2024-10-19,Charlie,2024-10-13 00:00:00
134,TCKT-1134,High,In Progress,Software,Password reset request,Automatically generated sample ticket record,2024-05-13,,Charlie,2024-05-13 00:00:00
135,TCKT-1135,Low,Closed,Software,Access denied error,Automatically generated sample ticket record,2024-03-16,2024-03-25,Alice,2024-03-16 00:00:00
136,TCKT-1136,Medium,Closed,Security,System running slow,Automatically generated sample ticket record,2024-08-31,2024-09-06,Ethan,2024-08-31 00:00:00
137,TCKT-1137,Critical,Closed,Network,Software installation issue,Automatically generated sample ticket record,2024-06-10,2024-06-12,David,2024-06-10 00:00:00
138,TCKT-1138,Low,Closed,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-03-03,2024-03-05,Ethan,2024-03-03 00:00:00
139,TCKT-1139,High,Open,Access,Email not syncing,Automatically generated sample ticket record,2024-03-24,,Alice,2024-03-24 00:00:00
140,TCKT-1140,Medium,In Progress,Network,Antivirus alert,Automatically generated sample ticket record,2024-03-01,,Ethan,2024-03-01 00:00:00
141,TCKT-1141,High,Closed,Hardware,VPN connection problem,Automatically generated sample ticket record,2024-10-03,2024-10-09,Ethan,2024-10-03 00:00:00
142,TCKT-1142,Critical,Resolved,Access,Antivirus alert,Automatically generated sample ticket record,2024-03-23,2024-03-26,Charlie,2024-03-23 00:00:00
143,TCKT-1143,Medium,Closed,Software,Printer not working,Automatically generated sample ticket record,2024-09-07,2024-09-08,Fatima,2024-09-07 00:00:00
144,TCKT-1144,High,Resolved,Security,Antivirus alert,Automatically generated sample ticket record,2024-07-05,2024-07-07,Bob,2024-07-05 00:00:00
145,TCKT-1145,High,Resolved,Access,Password reset request,Automatically generated sample ticket record,2024-03-18,2024-03-28,David,2024-03-18 00:00:00
146,TCKT-1146,Low,In Progress,Security,System running slow,Automatically generated sample ticket record,2024-05-09,,Alice,2024-05-09 00:00:00
147,TCKT-1147,High,Closed,Access,Antivirus alert,Automatically generated sample ticket record,2024-09-08,2024-09-09,Alice,2024-09-08 00:00:00
148,TCKT-1148,Low,Resolved,Access,Access denied error,Automatically generated sample ticket record,2024-02-23,2024-02-26,Bob,2024-02-23 00:00:00
149,TCKT-1149,High,Resolved,Software,Printer not working,Automatically generated sample ticket record,2024-01-30,2024-02-03,Ethan,2024-01-30 00:00:00
150,TCKT-1150,Critical,Resolved,Software,Cannot connect to WiFi,Automatically generated sample ticket record,2024-09-01,2024-09-03,Bob,2024-09-01 00:00:00
151,TCKT-1151,High,Closed,Hardware,Email not syncing,Automatically generated sample ticket record,2024-03-28,2024-04-05,Ethan,2024-03-28 00:00:00
152,TCKT-1152,Critical,Closed,Software,Laptop not starting,Automatically generated sample ticket record,2024-06-25,2024-07-04,Hassan,2024-06-25 00:00:00
153,TCKT-1153,High,Open,Software,Access denied error,Automatically generated sample ticket record,2024-10-23,,Ethan,2024-10-23 00:00:00
154,TCKT-1154,Low,Closed,Access,Email not syncing,Automatically generated sample ticket record,2024-03-28,2024-04-06,Alice,2024-03-28 00:00:00
155,TCKT-1155,Critical,Open,Software,Email not syncing,Automatically generated sample ticket record,2024-09-02,,Ethan,2024-09-02 00:00:00
156,TCKT-1156,Low,In Progress,Software,Printer not working,Automatically generated sample ticket record,2024-05-19,,Hassan,2024-05-19 00:00:00
157,TCKT-1157,Critical,Resolved,Software,Software installation issue,Automatically generated sample ticket record,2024-01-17,2024-01-26,Hassan,2024-01-17 00:00:00
158,TCKT-1158,Medium,Open,Security,Laptop not starting,Automatically generated sample ticket record,2024-05-25,,Hassan,2024-05-25 00:00:00
159,TCKT-1159,High,Open,Access,System running slow,Automatically generated sample ticket record,2024-05-06,,Hassan,2024-05-06 00:00:00
160,TCKT-1160,High,Closed,Software,Software installation issue,Automatically generated sample ticket record,2024-04-24,2024-04-28,David,2024-04-24 00:00:00
161,TCKT-1161,Low,Closed,Software,Cannot connect to WiFi,Automatically generated sample ticket record,2024-09-23,2024-09-26,David,2024-09-23 00:00:00
162,TCKT-1162,High,Closed,Security,VPN connection problem,Automatically generated sample ticket record,2024-06-26,2024-07-06,Ethan,2024-06-26 00:00:00
163,TCKT-1163,Medium,In Progress,Security,Laptop not starting,Automatically generated sample ticket record,2024-07-18,,Hassan,2024-07-18 00:00:00
164,TCKT-1164,Medium,Closed,Software,Password reset request,Automatically generated sample ticket record,2024-10-21,2024-10-31,David,2024-10-21 00:00:00
165,TCKT-1165,High,Resolved,Network,Antivirus alert,Automatically generated sample ticket record,2024-03-14,2024-03-16,Hassan,2024-03-14 00:00:00
166,TCKT-1166,Low,In Progress,Access,Printer not working,Automatically generated sample ticket record,2024-09-20,,Ethan,2024-09-20 00:00:00
